Zip,Territory,Region
43623,MI DETROIT,EAST
47150,KY LOUISVILLE,EAST
85364,AZ ARIZONA,WEST
22033,VA ALEXANDRIA,EAST
33841,FL TAMPA,SOUTH
85255,AZ ARIZONA,WEST
60657,IN INDIANAPOLIS NORTH,EAST
78261,TX AUSTIN,CENTRAL
40741,KY LOUISVILLE,EAST
34233,FL TAMPA,SOUTH
85306,AZ ARIZONA,WEST
27203,NC RALEIGH,EAST
21229,MD BETHESDA SOUTH,EAST
2903,CT HARTFORD,EAST
7444,NJ HACKENSACK,NORTH
94596,CA SAN FRANCISCO EAST,WEST
37043,TN NASHVILLE,CENTRAL
30518,GA ATLANTA NORTH,SOUTH
95010,CA SAN JOSE,WEST
27106,NC CHARLOTTE,SOUTH
39531,LA NEW ORLEANS,SOUTH
89503,CA SACRAMENTO,WEST
44122,PA PITTSBURGH,EAST
80026,CO SOUTH,WEST
15090,PA PITTSBURGH,EAST
19809,PA PHILADELPHIA SOUTH,NORTH
68526,MO KANSAS CITY,CENTRAL
70441,LA NEW ORLEANS,SOUTH
93030,CA LOS ANGELES NORTH,WEST
37862,TN KNOXVILLE,CENTRAL
30809,SC GREENVILLE,SOUTH
34101,FL MIAMI,SOUTH
92029,CA SAN DIEGO,WEST
88011,TX EL PASO,CENTRAL
29579,NC WILMINGTON,EAST
19468,PA PHILADELPHIA NORTH,NORTH
77027,TX HOUSTON NORTH,CENTRAL
91205,CA LOS ANGELES NORTH,WEST
7522,NJ HACKENSACK,NORTH
10065,NY MANHATTAN,NORTH
27536,NC RALEIGH,EAST
15131,PA PITTSBURGH,EAST
75034,TX IRVING,CENTRAL
87102,TX EL PASO,CENTRAL
93701,CA CENTRAL,WEST
43082,PA PITTSBURGH,EAST
1007,CT BRIDGEPORT,EAST
6614,CT BRIDGEPORT,EAST
92008,CA SAN DIEGO,WEST
27215,NC RALEIGH,EAST
6880,NY WESTCHESTER,EAST
92201,CA RIVERSIDE,WEST
75390,TX IRVING,CENTRAL
24370,TN KNOXVILLE,CENTRAL
70503,LA NEW ORLEANS,SOUTH
66103,MO KANSAS CITY,CENTRAL
12206,NY WESTCHESTER,EAST
95816,CA SACRAMENTO,WEST
20006,MD BETHESDA SOUTH,EAST
60190,IN INDIANAPOLIS NORTH,EAST
70112,LA NEW ORLEANS,SOUTH
7066,NJ NORTHERN,NORTH
85712,AZ ARIZONA,WEST
71105,TX DALLAS,CENTRAL
91355,CA CENTRAL,WEST
60611,IN INDIANAPOLIS NORTH,EAST
95616,CA SAN FRANCISCO EAST,WEST
30331,GA ATLANTA SOUTH,SOUTH
64804,OK OKLAHOMA CITY,CENTRAL
45227,KY LOUISVILLE,EAST
77338,TX HOUSTON NORTH,CENTRAL
92801,CA IRVINE,WEST
32806,FL ORLANDO,SOUTH
78240,TX AUSTIN,CENTRAL
48315,MI DETROIT,EAST
92868,CA IRVINE,WEST
34748,FL ORLANDO,SOUTH
46032,IN INDIANAPOLIS NORTH,EAST
48911,MI DETROIT,EAST
93465,CA SAN JOSE,WEST
87002,TX EL PASO,CENTRAL
19082,PA PHILADELPHIA SOUTH,NORTH
32804,FL ORLANDO,SOUTH
42366,KY LOUISVILLE,EAST
40216,KY LOUISVILLE,EAST
6611,CT BRIDGEPORT,EAST
34110,FL MIAMI,SOUTH
92708,CA IRVINE,WEST
46060,IN INDIANAPOLIS NORTH,EAST
30701,GA ATLANTA NORTH,SOUTH
70808,LA NEW ORLEANS,SOUTH
21201,MD BETHESDA SOUTH,EAST
90211,CA LOS ANGELES NORTH,WEST
76104,TX FORT WORTH,CENTRAL
21202,MD BETHESDA SOUTH,EAST
46052,IN INDIANAPOLIS NORTH,EAST
32561,FL TALLAHASSEE,SOUTH
32205,FL JACKSONVILLE,SOUTH
13205,NY BUFFALO,EAST
35071,AL HUNTSVILLE,CENTRAL
37923,TN KNOXVILLE,CENTRAL
95121,CA SAN JOSE,WEST
60402,IN INDIANAPOLIS NORTH,EAST
91773,CA IRVINE,WEST
18091,PA PHILADELPHIA NORTH,NORTH
60093,IN INDIANAPOLIS NORTH,EAST
48126,MI DETROIT,EAST
70714,LA NEW ORLEANS,SOUTH
11042,NY LONG ISLAND WEST,NORTH
11229,NY BROOKLYN,NORTH
10456,NY BRONX,NORTH
91767,CA IRVINE,WEST
66211,MO KANSAS CITY,CENTRAL
32311,FL TALLAHASSEE,SOUTH
38104,TN NASHVILLE,CENTRAL
94602,CA SAN FRANCISCO EAST,WEST
91762,CA IRVINE,WEST
36301,AL BIRMINGHAM,SOUTH
95603,CA SACRAMENTO,WEST
6492,CT HARTFORD,EAST
1890,CT HARTFORD,EAST
30529,SC GREENVILLE,SOUTH
70115,LA NEW ORLEANS,SOUTH
87108,TX EL PASO,CENTRAL
73701,OK OKLAHOMA CITY,CENTRAL
91505,CA LOS ANGELES NORTH,WEST
93454,CA SAN JOSE,WEST
32701,FL ORLANDO,SOUTH
42240,KY LOUISVILLE,EAST
21702,MD BETHESDA SOUTH,EAST
10467,NY BRONX,NORTH
91436,CA LOS ANGELES NORTH,WEST
32208,FL JACKSONVILLE,SOUTH
94304,CA SAN JOSE,WEST
46202,IN INDIANAPOLIS NORTH,EAST
19004,PA PHILADELPHIA SOUTH,NORTH
80524,CO SOUTH,WEST
29303,NC CHARLOTTE,SOUTH
92562,CA SAN DIEGO,WEST
31513,FL JACKSONVILLE,SOUTH
92395,CA RIVERSIDE,WEST
80918,CO SOUTH,WEST
28657,NC CHARLOTTE,SOUTH
94526,CA SAN FRANCISCO EAST,WEST
6460,CT BRIDGEPORT,EAST
37363,TN KNOXVILLE,CENTRAL
41001,KY LOUISVILLE,EAST
29605,SC GREENVILLE,SOUTH
12828,NY WESTCHESTER,EAST
2721,CT HARTFORD,EAST
32210,FL JACKSONVILLE,SOUTH
95758,CA SACRAMENTO,WEST
92037,CA SAN DIEGO,WEST
33702,FL TAMPA,SOUTH
95060,CA SAN JOSE,WEST
60302,IN INDIANAPOLIS NORTH,EAST
77070,TX HOUSTON NORTH,CENTRAL
81067,CO SOUTH,WEST
90274,CA LONG BEACH,WEST
72719,OK OKLAHOMA CITY,CENTRAL
92374,CA RIVERSIDE,WEST
32258,FL JACKSONVILLE,SOUTH
93721,CA CENTRAL,WEST
